source,source_id,source_name,kcal_100g,protein_g_100g,fat_g_100g,carbs_g_100g,fiber_g_100g,salt_g_100g,density_g_per_ml,piece_weight_g,data_state
USDA FoodData Central,171287,"Egg, whole, raw, fresh",143,12.56,9.51,0,0,0.355,,,raw
USDA FoodData Central,746784,"Sugars, granulated",385,0,0.32,0,0,0.003,,,raw
USDA FoodData Central,169228,"Eggplant, raw",25,0.98,0.18,0,3,0.005,,,raw
USDA FoodData Central,170032,"Potatoes, raw, skin",58,2.57,0.1,0,2.5,0.025,,,raw
USDA FoodData Central,2512381,"Rice, white, long grain, unenriched, raw",358.705,7.03885,1.033,0,0.1488,0.001,,,raw
USDA FoodData Central,172423,"Lupins, mature seeds, raw",371,36.17,9.74,0,18.9,0.037,,,raw
USDA FoodData Central,169251,"Mushrooms, white, raw",22,3.09,0.34,0,1,0.013,,,raw
USDA FoodData Central,2259793,"Yogurt, plain, whole milk",77.9524,3.824172,4.484,0,0,0.104,,,raw
USDA FoodData Central,169750,"Cornmeal, whole-grain, white",362,8.12,3.59,0,7.3,0.087,,,raw
USDA FoodData Central,171881,"Beverages, coffee, brewed, breakfast blend",2,0.3,0,0,0,0.003,,,raw
USDA FoodData Central,169593,"Cocoa, dry powder, unsweetened",228,19.6,13.7,0,37,0.052,,,raw
USDA FoodData Central,1750340,"Apples, fuji, with skin, raw",64.6609,0.1484375,0.1625,0,2.075,0.003,,,raw
USDA FoodData Central,171320,"Spices, cinnamon, ground",247,3.99,1.24,0,53.1,0.025,,,raw
USDA FoodData Central,171719,"Cherries, sweet, raw",63,1.06,0.2,0,2.1,0.000,,,raw
USDA FoodData Central,168565,"Squash, zucchini, baby, raw",21,2.71,0.4,0,1.1,0.007,,,raw
USDA FoodData Central,2646170,"Chicken, breast, boneless, skinless, raw",106.034,22.525,1.934,0,0,0.164,,,raw
USDA FoodData Central,175150,"Fish, sucker, white, raw",92,16.76,2.32,0,0,0.100,,,raw
USDA FoodData Central,170273,"Chocolate, dark, 70-85% cacao solids",598,7.79,42.63,0,10.9,0.050,,,raw
USDA FoodData Central,2346393,"Nuts, almonds, whole, raw",625.75,21.45038,51.09,0,10.78,0.000,,,raw
USDA FoodData Central,170150,"Seeds, sesame seeds, whole, dried",573,17.73,49.67,0,11.8,0.028,,,raw
USDA FoodData Central,169225,"Cucumber, peeled, raw",10,0.59,0.16,0,0.7,0.005,,,raw
USDA FoodData Central,1104647,"Garlic, raw",143,6.62,0.38,0,2.7,,,,raw
